,index,state,county,latitude,longitude
857,857,KS,Bourbon,37.8715624286,-94.8599262857
858,858,KS,Brown,39.7827417143,-95.5862331429
859,859,KS,Butler,37.7844026,-96.9094435333
860,860,KS,Chase,38.3408818,-96.6308918
861,861,KS,Chautauqua,37.0752544,-96.1862716
862,862,KS,Cherokee,37.1856893333,-94.814239
863,863,KS,Cheyenne,39.715407,-101.721025
864,864,KS,Clark,37.2838926667,-99.8675356667
865,865,KS,Clay,39.3065044,-97.133983
866,866,KS,Cloud,39.484186,-97.6231995
867,867,KS,Coffey,38.2081556,-95.7264204
868,868,KS,Comanche,37.2155843333,-99.3594103333
869,869,KS,Cowley,37.2983983333,-96.864114
870,870,KS,Crawford,37.4999325385,-94.7719206154
871,871,KS,Decatur,39.78044175,-100.368006
872,872,KS,Dickinson,38.89224425,-97.123144
873,873,KS,Doniphan,39.7889894286,-95.1315197143
874,874,KS,Douglas,38.903999875,-95.290673
875,875,KS,Edwards,37.922406,-99.34875025
876,876,KS,Elk,37.3884564,-96.2885102
877,877,KS,Ellis,38.8532598571,-99.232592
878,878,KS,Ellsworth,38.6785626,-98.2619372
879,879,KS,Finney,38.0016313333,-100.792822
880,880,KS,Ford,37.7025584,-99.840656
881,881,KS,Franklin,38.53858725,-95.26926575
882,882,KS,Geary,39.0893526667,-96.831736
883,883,KS,Gove,39.056674,-100.4107118
884,884,KS,Graham,39.3566785,-99.89434625
885,885,KS,Grant,37.562467,-101.308565
886,886,KS,Gray,37.710999,-100.399182
887,887,KS,Greeley,38.469704,-101.747853
888,888,KS,Greenwood,37.8516972222,-96.1674957778
889,889,KS,Hamilton,37.9952766667,-101.774556
890,890,KS,Harper,37.1864935714,-98.0183051429
891,891,KS,Harvey,38.0508085714,-97.4115561429
892,892,KS,Haskell,37.4616295,-100.9236285
893,893,KS,Hodgeman,38.0727145,-99.8016065
894,894,KS,Jackson,39.4394905556,-95.7505527778
895,895,KS,Jefferson,39.2256804444,-95.3938305556
896,896,KS,Jewell,39.7745471429,-98.1540751429
897,897,KS,Johnson,38.9233742609,-94.7806802391
898,898,KS,Kearny,37.951749,-101.2279895
899,899,KS,Kingman,37.52273,-98.159514
900,900,KS,Kiowa,37.604411,-99.2617556667
901,901,KS,Labette,37.15348675,-95.315244875
902,902,KS,Lane,38.5265895,-100.5327185
903,903,KS,Leavenworth,39.207898,-94.9977748571
904,904,KS,Lincoln,39.07660375,-98.2260725
905,905,KS,Linn,38.2271284286,-94.8096384286
906,906,KS,Logan,38.9713053333,-101.042736333
907,907,KS,Lyon,38.487124125,-96.1385875
908,908,KS,Marion,38.3726516667,-97.090118
909,909,KS,Marshall,39.8256513333,-96.5384889167
910,910,KS,Mcpherson,38.3803766667,-97.6151673333
911,911,KS,Meade,37.2534133333,-100.320956667
912,912,KS,Miami,38.5792781667,-94.8137353333
913,913,KS,Mitchell,39.4009673333,-98.2408833333
914,914,KS,Montgomery,37.1432522,-95.7828621
915,915,KS,Morris,38.7107052,-96.6742974
916,916,KS,Morton,37.092142,-101.766804
917,917,KS,Nemaha,39.775468,-95.9617753333
918,918,KS,Neosho,37.5604236667,-95.3168546667
919,919,KS,Ness,38.516886,-99.9215557143
920,920,KS,Norton,39.7785125,-99.8772575
921,921,KS,Osage,38.6721683333,-95.6591994444
922,922,KS,Osborne,39.4050292,-98.797956
923,923,KS,Ottawa,39.11644225,-97.67671825
924,924,KS,Pawnee,38.15179875,-99.2836575
925,925,KS,Phillips,39.747557875,-99.34582925
926,926,KS,Pottawatomie,39.36309075,-96.3222791667
927,927,KS,Pratt,37.6639304,-98.7967438
928,928,KS,Rawlins,39.82618125,-101.06813175
929,929,KS,Reno,37.9713946667,-98.0287118
930,930,KS,Republic,39.8231292222,-97.5736666667
931,931,KS,Rice,38.3336275,-98.24660575
932,932,KS,Riley,39.27987575,-96.7055455
933,933,KS,Rooks,39.325479,-99.335225
934,934,KS,Rush,38.541607625,-99.31889225
935,935,KS,Russell,38.960743,-98.7972655
936,936,KS,Saline,38.7696212857,-97.6480837143
937,937,KS,Scott,38.482307,-100.906427
938,938,KS,Sedgwick,37.6857949464,-97.3949023036
939,939,KS,Seward,37.0897003333,-100.837753
940,940,KS,Shawnee,39.0356472553,-95.7535338723
941,941,KS,Sheridan,39.448069,-100.5041175
942,942,KS,Sherman,39.3632996667,-101.753472
943,943,KS,Smith,39.7631156667,-98.7628485
944,944,KS,Stafford,38.03683425,-98.78993275
945,945,KS,Stanton,37.54964,-101.806292
946,946,KS,Stevens,37.2842345,-101.243794
947,947,KS,Sumner,37.2687135,-97.5063806667
948,948,KS,Thomas,39.4048238,-101.0335938
949,949,KS,Trego,38.9498373333,-99.8779816667
950,950,KS,Wabaunsee,38.9514628571,-96.1913161429
951,951,KS,Wallace,38.908882,-101.758107
952,952,KS,Washington,39.7702417273,-97.0813000909
953,953,KS,Wichita,38.480788,-101.288491
954,954,KS,Wilson,37.573111,-95.7382598571
955,955,KS,Woodson,37.90297525,-95.70097775
956,956,KS,Wyandotte,39.0988721765,-94.7139246471
957,957,KY,Adair,37.084279625,-85.33527375
958,958,KY,Allen,36.73099025,-86.14662375
959,959,KY,Anderson,38.006484,-84.979923
960,960,KY,Ballard,37.0714026667,-88.9326023333
961,961,KY,Barren,36.9382704444,-85.923644
962,962,KY,Bath,38.130183,-83.7497204
963,963,KY,Bell,36.7503209091,-83.7059857273
964,964,KY,Boone,38.965035875,-84.729009375
965,965,KY,Bourbon,38.21984675,-84.169586
966,966,KY,Boyd,38.3755975,-82.6947018333
967,967,KY,Boyle,37.6090503333,-84.898715
