State,County,Votes_Norm,Trump_Votes,Hillary_Votes,Independent_Votes,Total_Votes,Trump_Perc,Hillary_Perc,Independent_Perc
california,Imperial County,-0.41800000000000004,5607.0,14331.0,920.0,20858.0,26.9,68.7,4.4
california,Inyo County,0.13700000000000004,4128.0,3067.0,566.0,7761.0,53.2,39.5,7.3
california,Kern County,0.17799999999999996,95064.0,64980.0,8690.0,168734.0,56.3,38.5,5.2
california,Kings County,0.174,13158.0,9077.0,1262.0,23497.0,56.0,38.6,5.3
california,Lake County,-0.03699999999999996,5752.0,6240.0,1053.0,13045.0,44.1,47.8,8.1
california,Lassen County,0.4960000000000001,6533.0,2026.0,530.0,9089.0,71.9,22.3,5.8
california,Los Angeles County,-0.48100000000000004,525308.0,1601382.0,113633.0,2240323.0,23.4,71.5,5.1
california,Madera County,0.17300000000000004,19221.0,13283.0,1759.0,34263.0,56.1,38.8,5.2
california,Marin County,-0.628,14214.0,69518.0,4383.0,88115.0,16.1,78.9,5.0
california,Mariposa County,0.23799999999999996,4317.0,2568.0,460.0,7345.0,58.8,35.0,6.2
california,Mendocino County,-0.292,3571.0,6905.0,959.0,11435.0,31.2,60.4,8.4
california,Merced County,-0.07899999999999999,18486.0,21856.0,2181.0,42523.0,43.5,51.4,5.2
california,Modoc County,0.48,2413.0,798.0,148.0,3359.0,71.8,23.8,4.4
california,Mono County,-0.11399999999999999,1989.0,2551.0,406.0,4946.0,40.2,51.6,8.2
california,Monterey County,-0.393,19580.0,47387.0,3894.0,70861.0,27.6,66.9,5.6
california,Napa County,-0.35300000000000004,9335.0,20454.0,1745.0,31534.0,29.6,64.9,5.6
california,Nevada County,-0.045,14686.0,16199.0,2373.0,33258.0,44.2,48.7,7.1
california,Orange County,-0.05,361121.0,401577.0,43293.0,805991.0,44.8,49.8,5.4
california,Placer County,0.10700000000000003,55212.0,43915.0,6030.0,105157.0,52.5,41.8,5.7
california,Plumas County,0.21,5079.0,3224.0,527.0,8830.0,57.5,36.5,6.0
california,Riverside County,-0.02,219359.0,228731.0,21355.0,469445.0,46.7,48.7,4.5
california,Sacramento County,-0.225,114549.0,186425.0,18948.0,319922.0,35.8,58.3,5.9
california,San Benito County,-0.20299999999999996,4358.0,6751.0,649.0,11758.0,37.1,57.4,5.6
california,San Bernardino County,-0.07799999999999997,199493.0,234881.0,22856.0,457230.0,43.6,51.4,4.9
california,San Diego County,-0.171,279459.0,403005.0,37949.0,720413.0,38.8,55.9,5.2
california,San Francisco County,-0.7539999999999999,27242.0,235633.0,13336.0,276211.0,9.9,85.3,4.8
california,San Joaquin County,-0.11300000000000004,56194.0,71349.0,6533.0,134076.0,41.9,53.2,4.8
california,San Luis Obispo County,-0.08299999999999998,39263.0,46965.0,5786.0,92014.0,42.7,51.0,6.3
california,San Mateo County,-0.572,40809.0,163084.0,9822.0,213715.0,19.1,76.3,4.6
california,Santa Barbara County,-0.284,38973.0,72605.0,6827.0,118405.0,32.9,61.3,5.8
california,Santa Clara County,-0.517,91990.0,312994.0,22510.0,427494.0,21.5,73.2,5.3
california,Santa Cruz County,-0.5730000000000001,14523.0,60529.0,5221.0,80273.0,18.1,75.4,6.5
california,Shasta County,0.36699999999999994,35256.0,15533.0,2938.0,53727.0,65.6,28.9,5.5
california,Sierra County,0.25,1044.0,596.0,151.0,1791.0,58.3,33.3,8.4
california,Siskiyou County,0.214,8392.0,5252.0,995.0,14639.0,57.3,35.9,6.7
california,Solano County,-0.29600000000000004,45641.0,87419.0,8158.0,141218.0,32.3,61.9,5.8
california,Sonoma County,-0.47900000000000004,37421.0,116027.0,10612.0,164060.0,22.8,70.7,6.5
california,Stanislaus County,0.012999999999999972,52567.0,51171.0,5844.0,109582.0,48.0,46.7,5.3
california,Sutter County,0.17099999999999993,10947.0,7599.0,1071.0,19617.0,55.8,38.7,5.5
california,Tehama County,0.35700000000000004,10528.0,4764.0,848.0,16140.0,65.2,29.5,5.2
california,Trinity County,0.11300000000000004,2409.0,1876.0,431.0,4716.0,51.1,39.8,9.2
